phi std_phi theta std_theta
3.256 0.607 78.862 0.558
3.311 0.624 76.850 0.591
3.375 0.644 74.772 0.594
3.409 0.654 72.672 0.624
3.469 0.666 70.489 0.651
3.496 0.669 68.255 0.655
3.545 0.676 66.001 0.661
3.570 0.678 63.660 0.676
3.570 0.696 61.336 0.699
3.629 0.700 58.918 0.698
3.622 0.703 56.554 0.703
3.634 0.710 54.135 0.693
3.631 0.692 51.682 0.683
3.609 0.691 49.257 0.695
3.613 0.690 46.872 0.684
3.579 0.682 44.486 0.692
3.567 0.673 42.157 0.678
3.524 0.680 39.853 0.661
3.525 0.672 37.553 0.656
3.466 0.675 35.337 0.646
3.365 0.655 33.162 0.618
3.367 0.648 31.051 0.600
3.297 0.642 29.005 0.585
3.273 0.632 26.998 0.579
3.205 0.610 25.083 0.551
3.139 0.606 23.219 0.531
3.045 0.588 21.416 0.504
3.023 0.586 19.685 0.489
2.969 0.580 18.046 0.469
2.931 0.550 16.428 0.463
2.838 0.526 14.892 0.435
2.800 0.535 13.411 0.411
---
5.462 0.615 78.879 0.570
5.516 0.638 76.897 0.584
5.614 0.636 74.836 0.601
5.643 0.645 72.635 0.618
5.761 0.655 70.500 0.634
5.838 0.676 68.256 0.647
5.876 0.672 66.003 0.683
5.947 0.689 63.649 0.681
5.980 0.686 61.326 0.690
5.986 0.685 58.939 0.683
6.031 0.699 56.517 0.685
6.002 0.699 54.136 0.700
6.018 0.679 51.662 0.701
6.004 0.690 49.300 0.695
6.003 0.684 46.867 0.691
5.987 0.700 44.496 0.680
5.938 0.678 42.126 0.675
5.860 0.678 39.831 0.663
5.818 0.680 37.550 0.644
5.703 0.669 35.335 0.639
5.660 0.651 33.172 0.617
5.589 0.636 31.039 0.599
5.512 0.641 29.019 0.587
5.426 0.636 27.005 0.568
5.319 0.610 25.075 0.536
5.211 0.599 23.207 0.510
5.166 0.602 21.433 0.507
5.040 0.580 19.685 0.477
4.962 0.560 18.031 0.462
4.834 0.561 16.451 0.463
4.750 0.556 14.882 0.428
4.643 0.532 13.447 0.422
---
7.557 0.628 78.861 0.578
7.665 0.623 76.862 0.567
7.835 0.640 74.758 0.592
7.924 0.641 72.648 0.625
8.025 0.658 70.507 0.627
8.110 0.662 68.279 0.646
8.182 0.662 66.019 0.648
8.265 0.674 63.684 0.668
8.327 0.674 61.353 0.683
8.357 0.704 58.931 0.683
8.394 0.668 56.536 0.705
8.410 0.689 54.081 0.692
8.393 0.687 51.701 0.702
8.397 0.686 49.250 0.704
8.386 0.676 46.878 0.702
8.315 0.680 44.470 0.678
8.299 0.679 42.142 0.679
8.186 0.663 39.829 0.667
