phi std_phi theta std_theta
-99.565 43.074 88.754 12.899
-101.068 44.759 89.316 14.140
-107.303 36.612 88.765 11.407
-108.953 37.756 88.768 11.430
-108.263 46.918 88.610 12.435
-112.949 41.495 88.728 11.928
-114.156 44.910 88.635 12.268
-117.859 42.538 88.902 11.777
-119.167 45.431 89.542 11.925
-119.254 50.997 88.359 12.575
-122.641 48.655 88.529 11.852
-122.636 56.631 88.407 12.314
-125.387 54.046 88.464 12.599
-127.923 55.223 88.361 12.974
-126.705 61.600 87.909 12.950
-130.414 58.727 88.763 12.213
-130.413 65.078 88.520 12.259
-129.535 69.513 88.796 13.000
-130.542 72.045 88.539 14.076
-127.934 78.568 88.087 13.869
-129.978 77.873 88.336 15.135
-133.634 77.665 89.270 13.679
-131.629 82.832 89.641 14.318
-131.859 87.442 88.578 13.648
-132.391 87.095 88.948 15.135
-126.781 96.905 89.132 15.593
-123.149 104.641 89.260 15.400
---
-90.848 36.598 86.966 12.387
-95.295 32.582 86.975 12.063
-94.587 39.322 86.536 12.509
-95.373 41.156 87.647 14.410
-97.713 41.965 86.551 13.009
-100.717 40.850 86.204 12.445
-102.503 41.789 86.959 12.981
-105.442 40.442 86.486 13.812
-108.347 40.283 85.753 12.811
-108.827 44.139 86.327 12.487
-110.122 47.429 86.375 13.270
-113.985 45.922 85.884 12.520
-117.185 43.611 86.214 12.069
-118.384 47.599 86.850 11.869
-118.337 52.582 85.581 13.048
-121.366 52.039 86.249 12.893
-123.029 55.017 86.354 12.205
-123.539 58.444 85.747 12.725
-126.847 57.017 85.882 12.749
-129.998 54.233 86.568 12.639
-131.783 56.341 86.200 12.242
-129.977 65.015 86.336 12.989
-128.522 70.082 85.210 13.959
-130.605 71.916 86.727 13.069
-132.706 69.724 86.420 13.979
-127.425 82.410 86.813 14.261
-131.661 78.054 86.704 14.584
-128.363 86.168 86.415 15.370
-126.929 91.229 87.097 16.015
-124.503 97.743 86.154 15.871
-129.048 93.248 86.379 16.397
-130.021 96.478 87.533 14.923
---
-92.521 33.589 84.398 12.073
-93.741 37.135 84.139 12.312
-94.779 37.526 84.286 12.678
-95.304 41.780 84.586 13.191
-97.536 41.335 84.550 13.711
-101.570 39.524 84.345 12.980
-103.782 37.929 84.718 13.508
