phi std_phi theta std_theta
72.127 1.516 33.374 1.291
70.177 1.379 35.135 1.280
68.507 1.358 36.970 1.248
67.072 1.278 38.668 1.242
65.721 1.257 40.248 1.196
64.515 1.178 41.888 1.095
---
-153.051 1.981 38.774 0.973
-154.417 2.065 36.937 0.995
-155.686 2.209 35.184 1.006
-157.419 2.427 33.313 0.985
-159.218 2.614 31.346 0.981
-161.399 3.004 29.344 0.978
-163.969 3.271 27.321 0.977
-166.816 9.489 25.247 0.993
-167.680 31.025 23.209 0.928
-125.684 121.194 21.244 0.894
18.936 175.111 19.343 0.903
140.192 100.319 17.555 0.886
163.665 18.238 16.032 0.965
154.957 5.924 14.889 1.069
143.827 5.801 14.227 1.200
132.045 5.375 14.042 1.372
120.217 4.433 14.537 1.493
109.779 3.768 15.421 1.581
100.681 3.096 16.815 1.598
93.204 2.600 18.499 1.613
87.206 2.340 20.347 1.581
82.383 2.200 22.331 1.553
78.258 2.016 24.371 1.510
75.104 1.844 26.374 1.415
72.302 1.779 28.468 1.403
69.840 1.714 30.453 1.356
67.940 1.613 32.459 1.378
66.261 1.549 34.362 1.264
64.821 1.528 36.239 1.283
63.577 1.377 38.082 1.240
62.389 1.375 39.740 1.200
61.346 1.252 41.397 1.132
---
-149.514 1.993 38.259 1.011
-150.599 2.168 36.460 1.008
-151.754 2.362 34.570 1.038
-153.000 2.479 32.604 1.007
-154.595 2.622 30.583 1.025
-156.294 3.012 28.453 1.039
-158.708 3.309 26.247 1.040
-161.354 3.712 24.113 1.017
-164.560 4.100 21.904 0.976
-166.606 25.721 19.669 0.929
-131.983 112.110 17.517 0.924
17.031 174.101 15.491 0.882
138.883 98.005 13.707 0.915
157.589 26.141 12.290 1.004
145.955 7.551 11.414 1.187
131.115 6.742 11.231 1.397
116.533 5.333 11.821 1.526
104.056 4.146 13.011 1.676
94.074 3.304 14.631 1.639
86.457 2.872 16.488 1.638
80.541 2.673 18.655 1.599
75.937 2.458 20.868 1.506
72.523 2.304 23.102 1.471
69.529 2.152 25.288 1.495
67.192 2.031 27.525 1.431
65.253 1.825 29.698 1.331
63.606 1.746 31.795 1.332
62.027 1.683 33.615 1.293
60.859 1.570 35.647 1.236
59.894 1.489 37.456 1.218
58.888 1.375 39.212 1.214
58.011 1.342 40.930 1.130
---
-145.825 1.920 37.767 1.016
-146.621 2.079 36.029 1.059
-147.497 2.194 34.089 1.078
-148.492 2.409 32.029 1.089
-149.633 2.672 29.907 1.062
-151.278 3.033 27.652 1.092
-152.855 3.247 25.474 1.074
-155.183 3.701 23.051 1.064
-157.801 4.299 20.748 1.013
-161.351 4.970 18.339 1.000
-162.997 32.028 15.960 0.954
-123.212 119.104 13.645 0.908
12.336 172.873 11.544 0.893
134.985 96.694 9.773 0.925
148.178 22.676 8.683 1.145
129.904 9.243 8.380 1.398
110.860 6.557 9.103 1.613
95.790 4.856 10.653 1.651
85.346 3.902 12.697 1.648
78.078 3.519 14.942 1.546
72.702 3.202 17.274 1.559
68.739 2.823 19.635 1.530
65.918 2.589 22.053 1.466
63.546 2.369 24.465 1.451
61.644 2.225 26.663 1.437
60.138 2.038 28.981 1.342
58.820 1.895 31.172 1.294
57.667 1.842 33.154 1.285
56.846 1.663 35.230 1.196
56.031 1.561 37.074 1.158
55.227 1.471 38.866 1.179
54.735 1.409 40.657 1.138
---
-142.029 1.833 37.624 1.068
-142.595 2.062 35.639 1.074
-143.119 2.207 33.667 1.087
-143.798 2.369 31.587 1.081
-144.656 2.669 29.443 1.120
-145.630 2.985 27.157 1.130
-146.772 3.153 24.783 1.121
-148.183 3.705 22.411 1.129
-150.186 4.247 19.889 1.111
-152.675 5.107 17.304 1.096
-156.013 6.083 14.748 1.052
-158.858 27.027 12.164 1.003
-122.175 114.870 9.703 0.935
15.533 168.736 7.538 0.874
125.630 93.847 5.938 1.070
126.476 21.104 5.566 1.415
99.733 8.833 6.609 1.674
82.658 6.203 8.597 1.685
73.332 5.146 11.053 1.589
67.559 4.331 13.653 1.554
63.589 3.806 16.188 1.515
60.809 3.345 18.787 1.451
58.734 3.090 21.303 1.428
56.955 2.780 23.758 1.407
55.985 2.494 26.237 1.369
54.805 2.218 28.477 1.326
54.037 2.080 30.704 1.266
53.359 1.882 32.837 1.237
52.653 1.787 34.841 1.176
52.109 1.695 36.755 1.134
51.706 1.559 38.594 1.096
51.233 1.512 40.399 1.091
---
-138.266 1.865 37.355 1.133
-138.446 2.007 35.455 1.139
-138.533 2.105 33.466 1.141
-139.053 2.281 31.332 1.175
-139.369 2.482 29.143 1.195
-139.781 2.741 26.829 1.219
-140.284 3.107 24.428 1.181
-141.122 3.479 21.930 1.184
-141.889 4.118 19.395 1.204
-143.224 4.824 16.747 1.203
-145.033 6.038 14.001 1.207
-147.789 7.872 11.208 1.182
-148.806 34.517 8.464 1.122
-110.365 114.720 5.835 1.001
18.888 156.536 3.571 0.935
92.542 75.472 2.864 1.358
74.776 16.033 4.597 1.590
63.061 9.293 7.283 1.486
57.763 6.785 10.006 1.479
55.190 5.426 12.801 1.413
53.323 4.548 15.564 1.398
51.947 3.877 18.285 1.369
51.079 3.297 20.837 1.314
50.456 2.977 23.372 1.334
49.788 2.685 25.863 1.317
49.442 2.413 28.215 1.251
48.879 2.267 30.436 1.225
48.628 2.070 32.568 1.231
48.415 1.917 34.689 1.139
48.211 1.734 36.601 1.137
47.953 1.665 38.433 1.092
47.746 1.557 40.238 1.086
---
-134.304 1.694 37.341 1.098
-134.336 1.925 35.462 1.167
-134.225 2.012 33.425 1.162
-134.229 2.151 31.242 1.180
-134.175 2.421 28.992 1.220
-133.954 2.716 26.736 1.306
-133.801 3.090 24.351 1.288
-133.679 3.430 21.832 1.286
-133.447 3.810 19.212 1.322
-133.126 4.516 16.607 1.345
-132.835 5.497 13.791 1.340
-132.297 6.937 10.981 1.365
-131.619 9.378 8.159 1.382
-126.536 35.236 5.231 1.361
-81.835 91.685 2.609 1.251
4.383 63.727 1.966 0.965
33.525 22.057 4.214 1.201
38.892 12.357 6.982 1.262
41.036 8.291 9.832 1.278
42.079 6.095 12.666 1.258
42.632 5.078 15.442 1.242
43.014 4.197 18.204 1.255
43.392 3.605 20.815 1.272
43.566 3.247 23.316 1.228
43.579 2.880 25.738 1.199
43.701 2.651 28.107 1.198
43.909 2.332 30.389 1.181
44.029 2.145 32.548 1.151
44.099 1.966 34.576 1.174
44.183 1.865 36.656 1.109
44.259 1.660 38.465 1.052
44.245 1.707 40.151 1.070
---
