phi std_phi theta std_theta
-165.736 2.228 142.803 0.931
-167.890 2.369 144.445 0.953
-170.365 2.498 146.063 0.924
-170.950 26.334 147.739 0.945
-145.263 99.097 149.462 0.896
-13.103 177.105 151.089 0.911
132.190 116.073 152.663 0.940
168.100 35.158 154.167 0.934
166.601 3.693 155.527 0.933
160.519 3.892 156.684 1.000
154.075 3.869 157.657 1.082
146.997 3.848 158.329 1.092
139.343 3.651 158.699 1.224
131.857 3.437 158.794 1.298
124.169 2.976 158.422 1.373
116.942 2.732 157.829 1.451
110.318 2.416 156.900 1.506
104.370 2.042 155.751 1.468
98.928 1.862 154.390 1.510
94.251 1.689 152.927 1.511
90.077 1.558 151.329 1.480
86.432 1.459 149.700 1.413
83.392 1.398 148.022 1.427
80.538 1.382 146.385 1.289
78.163 1.288 144.698 1.339
75.942 1.238 143.093 1.267
73.949 1.227 141.533 1.281
72.271 1.154 139.886 1.218
---
-156.437 1.749 137.309 0.913
-157.645 1.813 138.820 0.936
-159.033 1.993 140.394 0.918
-160.607 2.049 142.047 0.947
-162.277 2.284 143.733 0.927
-164.296 2.490 145.478 0.940
-166.416 2.560 147.203 0.966
-169.226 2.801 149.013 0.938
-170.231 24.752 150.853 0.930
-145.371 97.734 152.653 0.914
-24.184 175.278 154.404 0.905
132.385 114.786 156.105 0.881
165.681 38.989 157.606 0.946
163.851 4.302 158.969 0.971
156.825 4.576 160.108 1.023
148.858 4.461 160.871 1.115
140.050 4.319 161.282 1.230
131.374 3.967 161.380 1.345
122.704 3.394 161.016 1.414
114.424 2.937 160.279 1.464
107.013 2.538 159.171 1.547
100.717 2.189 157.928 1.521
94.980 1.985 156.325 1.512
90.169 1.829 154.680 1.486
85.996 1.706 152.901 1.471
82.433 1.564 151.103 1.431
79.413 1.502 149.331 1.370
76.753 1.475 147.442 1.350
74.463 1.398 145.748 1.333
72.456 1.328 143.993 1.265
70.579 1.310 142.345 1.280
69.109 1.245 140.679 1.221
---
-153.326 1.786 137.888 0.957
-154.377 1.873 139.446 0.937
-155.613 2.010 140.996 0.985
-157.059 2.072 142.759 0.961
-158.526 2.351 144.636 0.983
-160.393 2.518 146.404 1.002
-162.476 2.678 148.339 0.960
-164.744 2.870 150.201 0.976
-167.668 3.150 152.186 0.929
-168.134 30.672 154.169 0.897
-145.151 96.754 156.043 0.890
-11.288 176.204 157.905 0.907
122.305 124.338 159.657 0.919
164.777 34.444 161.216 0.942
159.857 9.471 162.517 1.015
151.271 5.359 163.495 1.113
141.131 4.960 164.044 1.197
130.629 4.666 164.046 1.359
120.587 3.946 163.640 1.502
111.084 3.375 162.722 1.579
102.933 2.880 161.487 1.596
95.912 2.445 159.900 1.524
90.129 2.258 158.176 1.584
85.349 1.926 156.396 1.548
81.290 1.836 154.377 1.455
77.905 1.786 152.408 1.445
75.013 1.703 150.495 1.435
72.639 1.581 148.552 1.332
70.499 1.521 146.684 1.368
68.700 1.426 144.819 1.295
67.081 1.368 143.035 1.302
65.664 1.333 141.362 1.277
---
-150.118 1.746 138.285 0.981
-151.143 1.836 140.004 0.975
-152.106 2.060 141.637 0.990
-153.308 2.136 143.475 1.019
-154.623 2.300 145.345 0.985
-156.196 2.502 147.260 1.007
-157.922 2.702 149.169 1.001
-160.082 2.966 151.223 0.971
-162.638 3.312 153.367 0.973
-165.712 3.800 155.450 0.960
-166.686 29.899 157.551 0.950
-142.467 99.130 159.652 0.916
-15.523 175.183 161.567 0.898
125.833 118.357 163.399 0.958
161.306 35.572 164.932 0.945
154.615 6.397 166.100 1.049
142.354 6.153 166.754 1.229
129.733 5.534 166.848 1.397
117.531 4.602 166.323 1.494
106.678 3.639 165.174 1.529
97.470 3.035 163.710 1.590
90.167 2.601 161.956 1.619
84.270 2.420 159.908 1.556
79.716 2.205 157.860 1.544
75.829 2.060 155.757 1.524
72.803 1.950 153.689 1.445
70.208 1.833 151.543 1.370
68.078 1.728 149.491 1.392
66.234 1.674 147.534 1.342
64.715 1.564 145.586 1.330
63.395 1.460 143.700 1.242
62.138 1.377 141.888 1.247
---
-146.910 1.705 138.762 0.978
-147.692 1.854 140.400 1.001
-148.498 2.033 142.149 0.990
-149.452 2.175 144.011 1.011
-150.485 2.295 145.899 1.067
-151.644 2.505 147.888 1.025
-153.165 2.755 149.965 1.050
-155.226 3.039 152.130 1.052
-157.187 3.369 154.312 1.028
-159.814 3.782 156.591 1.010
-162.904 4.283 158.868 0.973
-165.147 25.645 161.121 0.950
-139.302 100.770 163.338 0.881
-19.204 173.684 165.409 0.920
117.326 123.871 167.271 0.928
156.459 31.406 168.728 1.008
144.610 10.740 169.582 1.183
128.451 7.157 169.597 1.421
112.892 5.531 168.918 1.525
100.153 4.206 167.592 1.611
90.239 3.415 165.799 1.609
82.906 3.018 163.628 1.599
77.514 2.800 161.461 1.553
73.332 2.511 159.235 1.515
69.818 2.425 156.904 1.487
67.258 2.152 154.694 1.408
65.111 2.088 152.501 1.418
63.290 1.948 150.332 1.327
61.816 1.794 148.189 1.311
60.452 1.696 146.237 1.286
59.482 1.565 144.258 1.221
58.424 1.523 142.378 1.206
---
-143.527 1.641 139.041 1.005
-144.035 1.786 140.716 1.003
-144.612 1.891 142.533 1.044
-145.411 2.052 144.407 1.061
-146.129 2.255 146.377 1.065
-147.170 2.483 148.452 1.104
-148.190 2.764 150.576 1.083
-149.653 2.936 152.894 1.100
-151.295 3.307 155.125 1.088
-153.104 3.884 157.577 1.065
-155.919 4.399 160.020 1.044
-159.061 4.985 162.432 1.037
-161.729 24.969 164.838 0.961
-140.596 94.362 167.214 0.916
-14.123 172.004 169.446 0.892
112.803 122.086 171.200 0.945
145.664 29.700 172.342 1.141
125.570 11.882 172.442 1.482
105.516 7.037 171.528 1.600
90.363 4.970 169.816 1.711
80.328 4.104 167.659 1.644
74.048 3.672 165.209 1.565
69.338 3.373 162.766 1.551
65.805 2.955 160.304 1.503
63.249 2.706 157.866 1.464
61.150 2.463 155.525 1.441
59.448 2.269 153.131 1.350
58.163 2.145 150.943 1.284
57.088 1.909 148.782 1.254
56.099 1.895 146.717 1.266
55.395 1.702 144.704 1.208
54.706 1.583 142.827 1.146
---
-140.127 1.698 139.245 1.057
-140.400 1.758 140.919 1.079
-140.809 1.852 142.745 1.062
-141.284 2.021 144.682 1.139
-141.703 2.166 146.717 1.115
-142.247 2.410 148.831 1.120
-143.131 2.594 151.006 1.143
-143.775 2.929 153.283 1.130
